example,sample,context,filtered,numeral,noun,standard,expression,tung/rus,num_type,num_semantics,num_composite,noun_semantics,wo,mass_noun,comment,nonstandard_speaker,pob,sex,edu,lang,speaker,yob,text,collection,all
Заглядывает/ {{дверь}},excluded,excluded,,,,,,,,,,,,,,,Kondon,F,higher,Nanai,lfs,1954,KlochokSena (lfs) [2011],online-corpus_202104,[pob: Kondon; gender: F; edu: higher; lng: Nanai; speaker: lfs; yob: 1954] Заглядывает/ {{дверь}}
Ночью с руки забрали в два часа ночи,,два часа ночи,,два,часа ночи,standard,gen_sg,rus,paucal,a_two-four,,time,num_noun,other,,nonstandard,Xaldon?,F,primary?,Kur-Urmi,vak,1932,gldku_vak_110803_so_o sebe-rus_210217_iv.eaf,elan_pract_202102,
"Э-э.. ну говорит, и {{ста}}.. она говорит старику: ой, старик, говорит, знаешь что?",excluded,excluded,,,,,,,,,,,,,,,Kondon,F,higher,Nanai,lfs,1954,SkazkaStarikStaruxa (lfs) [2011],online-corpus_202104,"[pob: Kondon; gender: F; edu: higher; lng: Nanai; speaker: lfs; yob: 1954] Э-э.. ну говорит, и {{ста}}.. она говорит старику: ой, старик, говорит, знаешь что?"
{{Три}} года\ училась там,large_sample,три года,,три,года,standard,gen_sg,rus,paucal,a_two-four,,time,num_noun,other,,standard,Kadaki camp,F,secondary (specialized),Ulcha,gip,1934,Uchilasj (gip) [2019],online-corpus_202104,[pob: Kadaki camp; gender: F; edu: secondary (specialized); lng: Ulcha; speaker: gip; yob: 1934] {{Три}} года\ училась там
"{{Две}} сестры, как иии с уже Кадиновки рассказали",large_sample,две сестры,,два,сестры,standard,gen_sg,rus,paucal,a_two-four,,human,num_noun,other,,standard,Kolchom,F,higher?,Ulcha,gkb,1951,BioRodstvennikiPoMateri (gkb) [2020],online-corpus_202104,"[pob: Kolchom; gender: F; edu: higher?; lng: Ulcha; speaker: gkb; yob: 1951] {{Две}} сестры, как иии с уже Кадиновки рассказали"
И вот он в {{двадцать}} седьмой год/,excluded,excluded,,,,,,,,,,,,,,,Kondon,F,higher,Nanai,lfs,1954,NanajPeople (lfs) [2011],online-corpus_202104,[pob: Kondon; gender: F; edu: higher; lng: Nanai; speaker: lfs; yob: 1954] И вот он в {{двадцать}} седьмой год/
"Женился <ПЕРЕКЛ>, привёл себе невесту, и стали они большой {{семьёй}} жить и поживать.",excluded,excluded,,,,,,,,,,,,,,,Kondon,F,higher,Nanai,lfs,1954,SkazkaStarikStaruxa (lfs) [2011],online-corpus_202104,"[pob: Kondon; gender: F; edu: higher; lng: Nanai; speaker: lfs; yob: 1954] Женился <ПЕРЕКЛ>, привёл себе невесту, и стали они большой {{семьёй}} жить и поживать."
"А {{две}} старшие сестры, видно, уже замужем были или что",large_sample,две старшие сестрЫ,,два,старшие сестрЫ,standard,gen_sg,rus,paucal,a_two-four,,human,num_noun,other,,standard,Kolchom,F,higher?,Ulcha,gkb,1951,BioRodstvennikiPoMateri (gkb) [2020],online-corpus_202104,"[pob: Kolchom; gender: F; edu: higher?; lng: Ulcha; speaker: gkb; yob: 1951] А {{две}} старшие сестры, видно, уже замужем были или что"
"В общем, все эти {{семеро}} умерли\/ <ВЗДОХ>",excluded,excluded,,,,,,,,,,,,,,,Kondon,F,higher,Nanai,lfs,1954,KlochokSena (lfs) [2011],online-corpus_202104,"[pob: Kondon; gender: F; edu: higher; lng: Nanai; speaker: lfs; yob: 1954] В общем, все эти {{семеро}} умерли\/ <ВЗДОХ>"
В крае= В Хабаровске есть в краеведческом музее есть отчет экспедиции {{двадцать}} седьмого года\ Каргера и Козьминского\,excluded,excluded,,,,,,,,,,,,,,,Kondon,F,higher,Nanai,lfs,1954,NanajPeople (lfs) [2011],online-corpus_202104,[pob: Kondon; gender: F; edu: higher; lng: Nanai; speaker: lfs; yob: 1954] В крае= В Хабаровске есть в краеведческом музее есть отчет экспедиции {{двадцать}} седьмого года\ Каргера и Козьминского\
Дети {{три}} года и {{четыре}} года...,,три года,,три,года,standard,gen_sg,rus,paucal,a_two-four,,time,num_noun,other,,nonstandard,Kolchom,F,higher,Ulcha,vas,1933,BioVaria (vas) [2017],online-corpus_202104,[pob: Kolchom; gender: F; edu: higher; lng: Ulcha; speaker: vas; yob: 1933] Дети {{три}} года и {{четыре}} года...
"Понятно, а вообще на {{сколько}} это вольное дело?",excluded,excluded,,,,,,,,,,,,,,,Kondon,F,higher,Nanai,lfs,1954,Xalaty (lfs) [2011],online-corpus_202104,"[pob: Kondon; gender: F; edu: higher; lng: Nanai; speaker: lfs; yob: 1954] Понятно, а вообще на {{сколько}} это вольное дело?"
"Еще сегодня == щас только {{три}} часа/ наверное, да/?",,три часа,,три,часа,standard,gen_sg,rus,paucal,a_two-four,,time,num_noun,other,,nonstandard,Dada,F,primary,Nanai,fna,1930,BioRodstvenniki (fna) [2015],online-corpus_202104,"[pob: Dada; gender: F; edu: primary; lng: Nanai; speaker: fna; yob: 1930] Еще сегодня == щас только {{три}} часа/ наверное, да/?"
"Ммм ... очень это\ пять {{тыщ}} лет назад/ люди\ тут жили, довольно == довольно густонаселенное\ было",excluded,excluded,,,,,,,,,,,,,,,Kondon,F,higher,Nanai,lfs,1954,NanajPeople (lfs) [2011],online-corpus_202104,"[pob: Kondon; gender: F; edu: higher; lng: Nanai; speaker: lfs; yob: 1954] Ммм ... очень это\ пять {{тыщ}} лет назад/ люди\ тут жили, довольно == довольно густонаселенное\ было"
"Это было в {{27-ом}}, {{28-ых}} годах",excluded,excluded,,,,,,,,,,,,,,,Mys Lazareva,F,higher?,Ulcha,lnl,1954,BioRusskijeVDudi (nao&lnl) [2020],online-corpus_202104,"[pob: Mys Lazareva; gender: F; edu: higher?; lng: Ulcha; speaker: lnl; yob: 1954] Это было в {{27-ом}}, {{28-ых}} годах"
"Эээ, у нас с {{1894}} года же Дуди?",excluded,excluded,,,,,,,,,,,,,,,Mys Lazareva,F,higher?,Ulcha,lnl,1954,BioRusskijeVDudi (nao&lnl) [2020],online-corpus_202104,"[pob: Mys Lazareva; gender: F; edu: higher?; lng: Ulcha; speaker: lnl; yob: 1954] Эээ, у нас с {{1894}} года же Дуди?"
В {{93-м}} он и ... умер,excluded,excluded,,,,,,,,,,,,,,,Dudi,F,higher?,Ulcha,nao,1955,SluchajDedVadjakaVozilNaChajachijOstrov (nao) [2020],online-corpus_202104,[pob: Dudi; gender: F; edu: higher?; lng: Ulcha; speaker: nao; yob: 1955] В {{93-м}} он и ... умер
"{{47-мь,}} {{47-ом}} или {{48-ом}} году, годах вот построен был завод деревянный ...",excluded,excluded,,,,,,,,,,,,,,,Dudi,F,higher?,Ulcha,nao,1955,PlacesDudi (nao) [2020],online-corpus_202104,"[pob: Dudi; gender: F; edu: higher?; lng: Ulcha; speaker: nao; yob: 1955] \n [nao] {{47-мь,}} {{47-ом}} или {{48-ом}} году, годах вот построен был завод деревянный ..."
"Ну вот начало {{800-ых}} годов дед год рождения был, да?",excluded,excluded,,,,,,,,,,,,,,,Dudi,F,higher?,Ulcha,nao,1955,SluchajDedVadjakaVozilNaChajachijOstrov (nao) [2020],online-corpus_202104,"[pob: Dudi; gender: F; edu: higher?; lng: Ulcha; speaker: nao; yob: 1955] \n [nao] Ну вот начало {{800-ых}} годов дед год рождения был, да?"
Он был ещё этим ... сопровоздал ... геологов уже в {{70-х}} годах ...,excluded,excluded,,,,,,,,,,,,,,,Dudi,F,higher?,Ulcha,nao,1955,BioVKoljchemeUBabushki (nao) [2020],online-corpus_202104,[pob: Dudi; gender: F; edu: higher?; lng: Ulcha; speaker: nao; yob: 1955] \n [nao] Он был ещё этим ... сопровоздал ... геологов уже в {{70-х}} годах ...
В {{13-ом}} у нас вода дошла только до домов ...,excluded,excluded,,,,,,,,,,,,,,,Dudi,F,higher?,Ulcha,nao,1955,BioProMamuINavodnenije (nao) [2020],online-corpus_202104,[pob: Dudi; gender: F; edu: higher?; lng: Ulcha; speaker: nao; yob: 1955] В {{13-ом}} у нас вода дошла только до домов ...
"Это было в каких, в {{60-х}} годах? ...",excluded,excluded,,,,,,,,,,,,,,,Dudi,F,higher?,Ulcha,nao,1955,BioVKoljchemeUBabushki (nao) [2020],online-corpus_202104,"[pob: Dudi; gender: F; edu: higher?; lng: Ulcha; speaker: nao; yob: 1955] Это было в каких, в {{60-х}} годах? ..."
В {{90-м}} старший брат ...,excluded,excluded,,,,,,,,,,,,,,,Dudi,F,higher?,Ulcha,nao,1955,SluchajDedVadjakaVozilNaChajachijOstrov (nao) [2020],online-corpus_202104,[pob: Dudi; gender: F; edu: higher?; lng: Ulcha; speaker: nao; yob: 1955] В {{90-м}} старший брат ...
Ну в {{93-м}} году ...,excluded,excluded,,,,,,,,,,,,,,,Dudi,F,higher?,Ulcha,nao,1955,SluchajDedVadjakaVozilNaChajachijOstrov (nao) [2020],online-corpus_202104,[pob: Dudi; gender: F; edu: higher?; lng: Ulcha; speaker: nao; yob: 1955] Ну в {{93-м}} году ...
Вот где-то {{93}} ему и было ...,excluded,excluded,,,,,,,,,,,,,,,Dudi,F,higher?,Ulcha,nao,1955,SluchajDedVadjakaVozilNaChajachijOstrov (nao) [2020],online-corpus_202104,[pob: Dudi; gender: F; edu: higher?; lng: Ulcha; speaker: nao; yob: 1955] Вот где-то {{93}} ему и было ...
В {{60-х}} конечно ...,excluded,excluded,,,,,,,,,,,,,,,Dudi,F,higher?,Ulcha,nao,1955,BioVKoljchemeUBabushki (nao) [2020],online-corpus_202104,[pob: Dudi; gender: F; edu: higher?; lng: Ulcha; speaker: nao; yob: 1955] \n [nao] В {{60-х}} конечно ...
"Это мы где-то до обеда, часов в {{10,}} может быть, отталкиваемся или {{9}} утра ...",excluded,excluded,,,,,,,,,,,,,,,Dudi,F,higher?,Ulcha,nao,1955,BioVKoljchemeUBabushki (nao) [2020],online-corpus_202104,"[pob: Dudi; gender: F; edu: higher?; lng: Ulcha; speaker: nao; yob: 1955] Это мы где-то до обеда, часов в {{10,}} может быть, отталкиваемся или {{9}} утра ..."
Она в третьем году умерла ... в {{2003-м}} ...,excluded,excluded,,,,,,,,,,,,,,,Dudi,F,higher?,Ulcha,nao,1955,SluchajShamankaIndjaka (nao) [2020],online-corpus_202104,[pob: Dudi; gender: F; edu: higher?; lng: Ulcha; speaker: nao; yob: 1955] \n [nao] Она в третьем году умерла ... в {{2003-м}} ...
А свет от {{12}} до {{6}} утра выключали ...,excluded,excluded,,,,,,,,,,,,,,,Dudi,F,higher?,Ulcha,nao,1955,SluchajShamankaIndjaka (nao) [2020],online-corpus_202104,[pob: Dudi; gender: F; edu: higher?; lng: Ulcha; speaker: nao; yob: 1955] \n [nao] А свет от {{12}} до {{6}} утра выключали ...
Свет до {{12}} ночи был ...,excluded,excluded,,,,,,,,,,,,,,,Dudi,F,higher?,Ulcha,nao,1955,SluchajShamankaIndjaka (nao) [2020],online-corpus_202104,[pob: Dudi; gender: F; edu: higher?; lng: Ulcha; speaker: nao; yob: 1955] \n [nao] Свет до {{12}} ночи был ...
"В {{80}} ... в {{88-м}} у меня уже был, у меня умер средний брат ...",excluded,excluded,,,,,,,,,,,,,,,Dudi,F,higher?,Ulcha,nao,1955,SluchajDedVadjakaVozilNaChajachijOstrov (nao) [2020],online-corpus_202104,"[pob: Dudi; gender: F; edu: higher?; lng: Ulcha; speaker: nao; yob: 1955] \n [nao] В {{80}} ... в {{88-м}} у меня уже был, у меня умер средний брат ..."
Но это уже в {{70-х}} годах,excluded,excluded,,,,,,,,,,,,,,,Dudi,F,higher?,Ulcha,nao,1955,PlacesDudi (nao) [2020],online-corpus_202104,[pob: Dudi; gender: F; edu: higher?; lng: Ulcha; speaker: nao; yob: 1955] Но это уже в {{70-х}} годах
"Приезжали туда уже к вечеру, часам к {{4-м,}} наверное",excluded,excluded,,,,,,,,,,,,,,,Dudi,F,higher?,Ulcha,nao,1955,BioVKoljchemeUBabushki (nao) [2020],online-corpus_202104,"[pob: Dudi; gender: F; edu: higher?; lng: Ulcha; speaker: nao; yob: 1955] Приезжали туда уже к вечеру, часам к {{4-м,}} наверное"
В {{66-м}} году,excluded,excluded,,,,,,,,,,,,,,,Dudi,F,higher?,Ulcha,nao,1955,BioVKoljchemeUBabushki (nao) [2020],online-corpus_202104,[pob: Dudi; gender: F; edu: higher?; lng: Ulcha; speaker: nao; yob: 1955] В {{66-м}} году
Конечно это было где-то .... в начале ... конце {{800-ых}} годов ...,excluded,excluded,,,,,,,,,,,,,,,Dudi,F,higher?,Ulcha,nao,1955,BioProMamuINavodnenije (nao) [2020],online-corpus_202104,[pob: Dudi; gender: F; edu: higher?; lng: Ulcha; speaker: nao; yob: 1955] Конечно это было где-то .... в начале ... конце {{800-ых}} годов ...
"Ээ, в сорок каком году, в {{47-м,}} {{8-м}} году у нас, {{7-м}} ли ...",excluded,excluded,,,,,,,,,,,,,,,Dudi,F,higher?,Ulcha,nao,1955,PlacesDudi (nao) [2020],online-corpus_202104,"[pob: Dudi; gender: F; edu: higher?; lng: Ulcha; speaker: nao; yob: 1955] Ээ, в сорок каком году, в {{47-м,}} {{8-м}} году у нас, {{7-м}} ли ..."
(?) {{9}} мая она <ЦОКАНЬЕ>,excluded,excluded,,,,,,,,,,,,,,,Dudi,F,higher?,Ulcha,nao,1955,BioRodstvenniki (nao) [2020],online-corpus_202104,[pob: Dudi; gender: F; edu: higher?; lng: Ulcha; speaker: nao; yob: 1955] \n [nao] (?) {{9}} мая она <ЦОКАНЬЕ>
В {{93-м}} дед умер ...,excluded,excluded,,,,,,,,,,,,,,,Dudi,F,higher?,Ulcha,nao,1955,SluchajDedVadjakaVozilNaChajachijOstrov (nao) [2020],online-corpus_202104,[pob: Dudi; gender: F; edu: higher?; lng: Ulcha; speaker: nao; yob: 1955] В {{93-м}} дед умер ...
"Вот, представляете, это умер он в {{93-м}} ...",excluded,excluded,,,,,,,,,,,,,,,Dudi,F,higher?,Ulcha,nao,1955,SluchajDedVadjakaVozilNaChajachijOstrov (nao) [2020],online-corpus_202104,"[pob: Dudi; gender: F; edu: higher?; lng: Ulcha; speaker: nao; yob: 1955] Вот, представляете, это умер он в {{93-м}} ..."
Дети {{три}} года и {{четыре}} года...,,четыре года,,четыре,года,standard,gen_sg,rus,paucal,a_two-four,,time,num_noun,other,,nonstandard,Kolchom,F,higher,Ulcha,vas,1933,BioVaria (vas) [2017],online-corpus_202104,[pob: Kolchom; gender: F; edu: higher; lng: Ulcha; speaker: vas; yob: 1933] Дети {{три}} года и {{четыре}} года...
"Даже, наверное, похлеще, чем в {{13-ом}}",excluded,excluded,,,,,,,,,,,,,,,Dudi,F,higher?,Ulcha,nao,1955,BioProMamuINavodnenije (nao) [2020],online-corpus_202104,"[pob: Dudi; gender: F; edu: higher?; lng: Ulcha; speaker: nao; yob: 1955] \n [nao] Даже, наверное, похлеще, чем в {{13-ом}}"
Я...там работала на своими ровееесниками {{29-го}} года,,excluded,,,,,,,,,,,,,,,Kondon,F,?,Nanai,tmb,1929,OSebe (tmb) [2011],online-corpus_202104,[pob: Kondon; gender: F; edu: ?; lng: Nanai; speaker: tmb; yob: 1929] \n [tmb] Я...там работала на своими ровееесниками {{29-го}} года
И все-таки он умер...в {{2002}} году,,excluded,,,,,,,,,,,,,,,Kondon,F,?,Nanai,tmb,1929,OSebe (tmb) [2011],online-corpus_202104,[pob: Kondon; gender: F; edu: ?; lng: Nanai; speaker: tmb; yob: 1929] \n [tmb] И все-таки он умер...в {{2002}} году
{{80}} что ли платили...,,excluded,,,,,,,,,,,,,,,Kolchom,F,higher,Ulcha,vas,1933,BioRazgovory2 (vas) [2017],online-corpus_202104,[pob: Kolchom; gender: F; edu: higher; lng: Ulcha; speaker: vas; yob: 1933] {{80}} что ли платили...
Коля...это {{43}} года рождения...,,excluded,,,,,,,,,,,,,,,Kolchom,F,higher,Ulcha,vas,1933,BioVaria (vas) [2017],online-corpus_202104,[pob: Kolchom; gender: F; edu: higher; lng: Ulcha; speaker: vas; yob: 1933] Коля...это {{43}} года рождения...
В {{44}} году я рыбачила же...,,excluded,,,,,,,,,,,,,,,Kolchom,F,higher,Ulcha,vas,1933,BioVshi (vas) [2017],online-corpus_202104,[pob: Kolchom; gender: F; edu: higher; lng: Ulcha; speaker: vas; yob: 1933] В {{44}} году я рыбачила же...
Ну в общем через {{два}} года/,large&small_sample,два года,,два,года,standard,gen_sg,rus,paucal,a_two-four,,time,num_noun,other,,nonstandard,Sorgolj camp,F,primary,Nanai,vsg,1932,Biografija3 (vsg) [2012],online-corpus_202104,[pob: Sorgolj camp; gender: F; edu: primary; lng: Nanai; speaker: vsg; yob: 1932] Ну в общем через {{два}} года/
Это года ... {{два}} тому назад ездила/ рыбачить,large&small_sample,года два,,два,года,standard,gen_sg,rus,paucal,a_two-four,,time,noun_num,other,,nonstandard,Sorgolj camp,F,primary,Nanai,vsg,1932,Biografija3 (vsg) [2012],online-corpus_202104,[pob: Sorgolj camp; gender: F; edu: primary; lng: Nanai; speaker: vsg; yob: 1932] Это года ... {{два}} тому назад ездила/ рыбачить
Перед смерти года {{два}} она ... встретила базарчике\ Кондоне\,large&small_sample,года два,,два,года,standard,gen_sg,rus,paucal,a_two-four,,time,noun_num,other,,nonstandard,Sorgolj camp,F,primary,Nanai,vsg,1932,Medvezhatina (vsg) [2012],online-corpus_202104,[pob: Sorgolj camp; gender: F; edu: primary; lng: Nanai; speaker: vsg; yob: 1932] Перед смерти года {{два}} она ... встретила базарчике\ Кондоне\
Жили {{два}} брата\,large_sample,два брата,,два,брата,standard,gen_sg,rus,paucal,a_two-four,,human,num_noun,other,,standard,Kolchom,F,secondary (specialized),Ulcha,gnv,1954,DevochkaSMongokto (gnv) [2019],online-corpus_202104,[pob: Kolchom; gender: F; edu: secondary (specialized); lng: Ulcha; speaker: gnv; yob: 1954] Жили {{два}} брата\
а у вас тоже {{два}} имени было?,large_sample,два имени,,два,имени,standard,gen_sg,rus,paucal,a_two-four,,other,num_noun,other,,standard,Kolchom,F,secondary (specialized),Ulcha,gnv,1954,ObrjadyObmanyvaliDuhov (gnv) [2017],online-corpus_202104,[pob: Kolchom; gender: F; edu: secondary (specialized); lng: Ulcha; speaker: gnv; yob: 1954] а у вас тоже {{два}} имени было?
вот для этого {{2}} имени?,large_sample,два имени,,два,имени,standard,gen_sg,rus,paucal,a_two-four,,other,num_noun,other,,standard,Kolchom,F,secondary (specialized),Ulcha,gnv,1954,ObrjadyObmanyvaliDuhov (gnv) [2017],online-corpus_202104,[pob: Kolchom; gender: F; edu: secondary (specialized); lng: Ulcha; speaker: gnv; yob: 1954] вот для этого {{2}} имени?
"а про кого-нибудь вы знаете, что у него {{2}} имени?",large_sample,два имени,,два,имени,standard,gen_sg,rus,paucal,a_two-four,,other,num_noun,other,,standard,Kolchom,F,secondary (specialized),Ulcha,gnv,1954,ObrjadyObmanyvaliDuhov (gnv) [2017],online-corpus_202104,"[pob: Kolchom; gender: F; edu: secondary (specialized); lng: Ulcha; speaker: gnv; yob: 1954] а про кого-нибудь вы знаете, что у него {{2}} имени?"
"Ну, там, конечно, {{две}} могилы/ было",large_sample,две могилы,,два,могилы,standard,gen_sg,rus,paucal,a_two-four,,other,num_noun,other,,standard,Kolchom,F,secondary (specialized),Ulcha,gnv,1954,BioDedMartyn&Poxorony (gnv) [2019],online-corpus_202104,"[pob: Kolchom; gender: F; edu: secondary (specialized); lng: Ulcha; speaker: gnv; yob: 1954] Ну, там, конечно, {{две}} могилы/ было"
Поэтому эээ выкопали {{две}} могилы\,large_sample,две могилы,,два,могилы,standard,gen_sg,rus,paucal,a_two-four,,other,num_noun,other,,standard,Kolchom,F,secondary (specialized),Ulcha,gnv,1954,BioDedMartyn&Poxorony (gnv) [2019],online-corpus_202104,[pob: Kolchom; gender: F; edu: secondary (specialized); lng: Ulcha; speaker: gnv; yob: 1954] Поэтому эээ выкопали {{две}} могилы\
"Ммм, ну кто может {{три\}} года",large_sample,три года,,три,года,standard,gen_sg,rus,paucal,a_two-four,,time,num_noun,other,,standard,Kolchom,F,secondary (specialized),Ulcha,gnv,1954,BioDedMartyn&Poxorony (gnv) [2019],online-corpus_202104,"[pob: Kolchom; gender: F; edu: secondary (specialized); lng: Ulcha; speaker: gnv; yob: 1954] Ммм, ну кто может {{три\}} года"
Нууу {{три}} года тяжело\,large_sample,три года,,три,года,standard,gen_sg,rus,paucal,a_two-four,,time,num_noun,other,,standard,Kolchom,F,secondary (specialized),Ulcha,gnv,1954,BioDedMartyn&Poxorony (gnv) [2019],online-corpus_202104,[pob: Kolchom; gender: F; edu: secondary (specialized); lng: Ulcha; speaker: gnv; yob: 1954] Нууу {{три}} года тяжело\
Ну вот {{три}} дня== {{три}} года прошло\ с того времени,large_sample,три года,,три,года,standard,gen_sg,rus,paucal,a_two-four,,time,num_noun,other,,standard,Kolchom,F,secondary (specialized),Ulcha,gnv,1954,SluchajSMedvedem (gnv) [2017],online-corpus_202104,[pob: Kolchom; gender: F; edu: secondary (specialized); lng: Ulcha; speaker: gnv; yob: 1954] Ну вот {{три}} дня== {{три}} года прошло\ с того времени
Ну вот {{три}} дня== {{три}} года прошло\ с того времени,large_sample,три дня,,три,дня,standard,gen_sg,rus,paucal,a_two-four,,time,num_noun,other,,standard,Kolchom,F,secondary (specialized),Ulcha,gnv,1954,SluchajSMedvedem (gnv) [2017],online-corpus_202104,[pob: Kolchom; gender: F; edu: secondary (specialized); lng: Ulcha; speaker: gnv; yob: 1954] Ну вот {{три}} дня== {{три}} года прошло\ с того времени
Иии вот ... пить {{три}} раза в день\ ее,large_sample,три раза,,три,раза,standard,gen_sg,rus,paucal,a_two-four,,time,num_noun,other,,standard,Kolchom,F,secondary (specialized),Ulcha,gnv,1954,MedvezhjaZhelchj (gnv) [2019],online-corpus_202104,[pob: Kolchom; gender: F; edu: secondary (specialized); lng: Ulcha; speaker: gnv; yob: 1954] Иии вот ... пить {{три}} раза в день\ ее
А дети ... {{четверо\}} детей,large&small_sample,четверо детей,,четверо,детей,standard,gen_pl,rus,cumulative,a_two-four,,human,num_noun,other,,nonstandard,Sorgolj camp,F,primary,Nanai,vsg,1932,RanjsheVKondone (vsg) [2015],online-corpus_202104,[pob: Sorgolj camp; gender: F; edu: primary; lng: Nanai; speaker: vsg; yob: 1932] А дети ... {{четверо\}} детей
То ли... {{два/}} или {{три}} дома/?,large_sample,два или три дома,,три,дома,standard,gen_sg,rus,paucal,a_two-four,,other,num_noun,other,,standard,Dzhonka,F,primary?,Nanai,gpb,1935,Detstvo (gpb) [2011],online-corpus_202104,[pob: Dzhonka; gender: F; edu: ?; lng: Nanai; speaker: gpb; yob: 1935] То ли... {{два/}} или {{три}} дома/?
Я гврю: Домика {{три/}} или {{четыре}} там стояло\,large_sample,домика три или четыре,,три,домика,standard,gen_sg,rus,paucal,a_two-four,,other,noun_num,other,,standard,Dzhonka,F,primary?,Nanai,gpb,1935,Detstvo (gpb) [2011],online-corpus_202104,[pob: Dzhonka; gender: F; edu: ?; lng: Nanai; speaker: gpb; yob: 1935] Я гврю: Домика {{три/}} или {{четыре}} там стояло\
И он через года {{два}} ли {{три}} вернулась\,large&small_sample,года два ли три,,два,года,standard,gen_sg,rus,paucal,a_two-four,,time,noun_num,other,,nonstandard,Sorgolj camp,F,primary,Nanai,vsg,1932,Medvezhatina (vsg) [2012],online-corpus_202104,[pob: Sorgolj camp; gender: F; edu: primary; lng: Nanai; speaker: vsg; yob: 1932] И он через года {{два}} ли {{три}} вернулась\
{{Два/}} дня - нету\,large&small_sample,два дня,,два,дня,standard,gen_sg,rus,paucal,a_two-four,,time,num_noun,other,,nonstandard,Sorgolj camp,F,primary,Nanai,vsg,1932,ZhirSoxatogo (vsg) [2015],online-corpus_202104,[pob: Sorgolj camp; gender: F; edu: primary; lng: Nanai; speaker: vsg; yob: 1932] \n [vsg] {{Два/}} дня - нету\
"Проводил шаман, начиналось с конца деревни и они обходили каждый дом. У него была своя свита, ну человек {{шесть}} может быть.",large_sample,человек шесть,,шесть,человек,standard,gen_pl,rus,main,b_five-ten,,human,noun_num,other,,standard,Achan,F,higher,Nanai,lak,1947,ObrjadOchishenijaUundi (lak) [2016],online-corpus_202104,"[pob: Achan; gender: F; edu: higher; lng: Nanai; speaker: lak; yob: 1947] Проводил шаман, начиналось с конца деревни и они обходили каждый дом. У него была своя свита, ну человек {{шесть}} может быть."
"Может быть лет было пяяять\/ {{шесть\,}} вот так\ вот, да\/?",large_sample,лет пять-шесть,,пять,лет,standard,gen_pl,rus,main,b_five-ten,,time,noun_num,other,,standard,Muhu,F,higher,Nanai,ldk,1950,ChertejGonjali (ldk) [2011],online-corpus_202104,"[pob: Muhu; gender: F; edu: higher; lng: Nanai; speaker: ldk; yob: 1950] \n [ldk] Может быть лет было пяяять\/ {{шесть\,}} вот так\ вот, да\/?"
"У нас тоже, у нас же эээ {{восемь}} речек/ вп= впадают в озеро\, а только одна, {{девятая,}} вытекает\",large_sample,восемь речек,,восемь,речек,standard,gen_pl,rus,main,b_five-ten,,other,num_noun,other,,standard,Kondon,F,higher,Nanai,lfs,1954,NanajPeople (lfs) [2011],online-corpus_202104,"[pob: Kondon; gender: F; edu: higher; lng: Nanai; speaker: lfs; yob: 1954] У нас тоже, у нас же эээ {{восемь}} речек/ вп= впадают в озеро\, а только одна, {{девятая,}} вытекает\"
"А на такие простые/ ну минимум месяц\... так рабочих дней сосчитать/ вот так вот, как работа с {{двумя}} выходными\/ тааам {{семь}} {{восемь}} часов\/ дааа\ месяц\",large_sample,семь-восемь часов,,восемь,часов,standard,gen_pl,rus,main,b_five-ten,,time,num_noun,other,,standard,Kondon,F,higher,Nanai,lfs,1954,NanajskijDom (lfs) [2011],online-corpus_202104,"[pob: Kondon; gender: F; edu: higher; lng: Nanai; speaker: lfs; yob: 1954] А на такие простые/ ну минимум месяц\... так рабочих дней сосчитать/ вот так вот, как работа с {{двумя}} выходными\/ тааам {{семь}} {{восемь}} часов\/ дааа\ месяц\"
"И вы считайте эта ладонь/ это сантиметров {{десять\}} наверное, в высоту, да\/?",large_sample,сантиметров десять,,десять,сантиметров,standard,gen_pl,rus,main,b_five-ten,,measure,noun_num,other,,standard,Kondon,F,higher,Nanai,lfs,1954,NanajPeople (lfs) [2011],online-corpus_202104,"[pob: Kondon; gender: F; edu: higher; lng: Nanai; speaker: lfs; yob: 1954] И вы считайте эта ладонь/ это сантиметров {{десять\}} наверное, в высоту, да\/?"
Здесь китайцев было несколько: два или три китайца,large_sample,два или три китайца,,три,китайца,standard,gen_sg,rus,paucal,a_two-four,,human,num_noun,other,,standard,Kadan,M,secondary?,Nanai,iao,1934,gld_iao_160726_ns_Biografija_rus_20212102_oz.eaf,elan_pract_202102,
"Ну, вооот, жили-были {{семь}} сестер\/",large_sample,семь сестер,,семь,сестер,standard,gen_pl,rus,main,b_five-ten,,human,num_noun,other,,standard,Kondon,F,higher,Nanai,lfs,1954,KlochokSena (lfs) [2011],online-corpus_202104,"[pob: Kondon; gender: F; edu: higher; lng: Nanai; speaker: lfs; yob: 1954] Ну, вооот, жили-были {{семь}} сестер\/"
"Ну, в общем, {{семь}} сестер/",large_sample,семь сестер,,семь,сестер,standard,gen_pl,rus,main,b_five-ten,,human,num_noun,other,,standard,Kondon,F,higher,Nanai,lfs,1954,KlochokSena (lfs) [2011],online-corpus_202104,"[pob: Kondon; gender: F; edu: higher; lng: Nanai; speaker: lfs; yob: 1954] Ну, в общем, {{семь}} сестер/"
