example_number,example,context,numeral,noun,standard,expression,pattern,num_type,num_semantics,noun_semantics,wo,mass_noun,nonstandard_speaker,pob,sex,edu,lang,speaker,yob,text,collection
110,А потом с кромки леса выходит\ {{два}} оленя\,два оленя,два,оленя,standard,gen_sg,rus,gen_sg,basic,non_time&measure,num_noun,other,nonstandard,Dudi,F,primary,Ulcha,oab,1935,SkazkaTriBrata (oab) [2017],online-corpus_202104
111,"А потом только объединение стало. У нас же <НРЗБ> на левом берегу, там ас= на левом берегу там {{четыре}} села было (девушка: ""ммм... да, теперь там нет ничего"") ну, ну. А потом туда, в ту сторону заходишь, там еще села. Там вот как раз таки на острове заксоры жили. На, эт самое, э... напротив это... оненки, стойбище оненки - Сунгу Николаевич там жил. А вот на этом берегу, там жили, это, бельды жили, художнички наши знаменитые. Андрей... родители Андрея жили.",четыре села,четыре,села,standard,gen_sg,rus,gen_sg,basic,non_time&measure,num_noun,other,nonstandard,Naikhin,F,higher,Nanai,ssb,1933,ded Poja (ssb) [2015],online-corpus_202104
112,А там {{десять}} классов я кончала.,десять классов,десять,классов,standard,gen_pl,rus,gen_pl,large,non_time&measure,num_noun,other,nonstandard,Naikhin,F,higher,Nanai,ssb,1933,Shkola (ssb) [2015],online-corpus_202104
113,А там орулона было {{десять}} килограм мука...,десять килограмм,десять,килограмм,standard,gen_pl,rus,gen_pl,large,time&measure,num_noun,other,nonstandard,Dada,F,primary,Nanai,fna,1930,Biografia (fna) [2011],online-corpus_202104
114,А то время-то солдаты {{много/}} было,солдаты много,много,солдаты,nonstandard,nom_pl,tung,gen_pl,basic,non_time&measure,noun_num,other,nonstandard,Sorgolj camp,F,primary,Nanai,vsg,1932,RanjsheVKondone (vsg) [2015],online-corpus_202104
115,А только кто не работает - {{двести}} грамм хлеб давали.,двести грамм хлеб,двести,грамм хлеб,standard,gen_pl,rus,gen_pl,large,time&measure,num_noun,other,nonstandard,Dada,F,primary,Nanai,fna,1930,Biografia (fna) [2011],online-corpus_202104
116,А тут знаешь/ {{сколько}} {{семья\}} было,сколько семья,сколько,семья,nonstandard,nom_sg,tung,gen_pl,basic,non_time&measure,num_noun,other,nonstandard,Sorgolj camp,F,primary,Nanai,vsg,1932,Biografija3 (vsg) [2012],online-corpus_202104
117,А тут на поезде {{7}} дней ехать!,семь дней,семь,дней,standard,gen_pl,rus,gen_pl,large,time&measure,num_noun,other,nonstandard,Kolchom,F,higher,Ulcha,vas,1933,BioRazgovory2 (vas) [2017],online-corpus_202104
118,А ты {{два}} кувшина представляешь/ {{сколько}} там это деньги\,сколько деньги,сколько,деньги,nonstandard,nom_mass,tung,gen_pl,basic,non_time&measure,num_noun,mass,nonstandard,Sorgolj camp,F,primary,Nanai,vsg,1932,Klad (vsg) [2012],online-corpus_202104
119,А ты {{два}} кувшина представляешь/ {{сколько}} там это деньги\,два кувшина,два,кувшина,standard,gen_sg,rus,gen_sg,basic,non_time&measure,num_noun,other,nonstandard,Sorgolj camp,F,primary,Nanai,vsg,1932,Klad (vsg) [2012],online-corpus_202104
120,"А у меня стооолько георгин, наверное, сортов двенадцать-пятнадцать было",сортов двенадцать-пятнадцать,двенадцать,сортов,standard,gen_pl,rus,gen_pl,large,non_time&measure,noun_num,other,nonstandard,Achan,F,secondary,Nanai,rchk,1942,gld_rchk_110807_so_o sebe3-rus_16022021_KL.eaf,elan_pract_202102
121,"А у меня стооолько георгин, наверное, сортов двенадцать-пятнадцать было",столько георгин,столько,георгин,standard,gen_pl,rus,gen_pl,basic,non_time&measure,num_noun,other,nonstandard,Achan,F,secondary,Nanai,rchk,1942,gld_rchk_110807_so_o sebe3-rus_16022021_KL.eaf,elan_pract_202102
122,А щас {{сколько\/}} лет ему?,сколько лет,сколько,лет,standard,gen_pl,rus,gen_pl,basic,time&measure,num_noun,other,nonstandard,Dada,F,primary,Nanai,fna,1930,Razgovory2 (fna) [2015],online-corpus_202104
123,А я ... ну лет может {{шестнадцать\}} {{семнадцать\}},лет шестнадцать-семнадцать,шестнадцать,лет,standard,gen_pl,rus,gen_pl,large,time&measure,noun_num,other,nonstandard,Sorgolj camp,F,primary,Nanai,vsg,1932,NazvaliDegde (vsg) [2015],online-corpus_202104
124,А я это {{много}} раз была,много раз,много,раз,standard,gen_pl,rus,gen_pl,basic,time&measure,num_noun,other,nonstandard,Sira camp,F,secondary,Nanai,itg,1945,RybjaKozhaITravyPokaz (itg) [2013],online-corpus_202104
125,"Аа в== а чобы пацаны все семь классов окончили, потому что их в армию должны брать, вот",семь классов,семь,классов,standard,gen_pl,rus,gen_pl,large,non_time&measure,num_noun,other,nonstandard,Bulava,F,secondary (specialized),Ulcha,oax,1937,ulc_oax_20190709_nst_BioVShkolu_rus_20212102_oz.eaf,elan_pract_202102
126,Ааа {{два}} женщина/,два женщина,два,женщина,nonstandard,nom_sg,tung,gen_sg,basic,non_time&measure,num_noun,other,nonstandard,Sorgolj camp,F,primary,Nanai,vsg,1932,NazvaliDegde (vsg) [2015],online-corpus_202104
127,"Ааа, а оказывается ехать всего {{шесть}} часов",шесть часов,шесть,часов,standard,gen_pl,rus,gen_pl,large,time&measure,num_noun,other,nonstandard,Bulava,F,secondary (specialized),Ulcha,oax,1937,NizhnijePrungi (oax) [2019],online-corpus_202104
128,Аж на озеро там\... {{семь}} километров ... от села\,семь километров,семь,километров,standard,gen_pl,rus,gen_pl,large,time&measure,num_noun,other,nonstandard,Kolchom,F,higher,Ulcha,vas,1933,Biografia (vas) [2017],online-corpus_202104
129,Бабушки все и молодежь\ все\ все идут и {{три}} ... {{три}} дня гуляют\,три дня,три,дня,standard,gen_sg,rus,gen_sg,basic,time&measure,num_noun,other,nonstandard,Sorgolj camp,F,primary,Nanai,vsg,1932,MedvezhijPrazdnik (vsg) [2011],online-corpus_202104
130,Без мужа {{сколько}} их девчата\ были,сколько их девчата,сколько,их девчата,nonstandard,nom_pl,tung,gen_pl,basic,non_time&measure,num_noun,other,nonstandard,Sorgolj camp,F,primary,Nanai,vsg,1932,RanjsheVKondone (vsg) [2015],online-corpus_202104
131,Бригада == у нас же детей-то {{много/}} было ... {{семья\}},детей много,много,детей,standard,gen_pl,rus,gen_pl,basic,non_time&measure,noun_num,other,nonstandard,Kolchom,F,higher,Ulcha,vas,1933,Biografia (vas) [2017],online-corpus_202104
132,Были бы {{семь=}} {{шестьдесят\}} лет или {{пятьдесят\}} <СМЕХ>,шестьдесят лет,шестьдесят,лет,standard,gen_pl,rus,gen_pl,large,time&measure,num_noun,other,nonstandard,Dada,F,primary,Nanai,fna,1930,Razgovory2 (fna) [2015],online-corpus_202104
133,В {{тридцать}} лет я овдовела,тридцать лет,тридцать,лет,standard,gen_pl,rus,gen_pl,large,time&measure,num_noun,other,nonstandard,Kolchom,F,higher,Ulcha,vas,1933,BioSobaka&Varia (vas) [2019],online-corpus_202104
134,В день {{три}} раза <НРЗБ>,три раза,три,раза,standard,gen_sg,rus,gen_sg,basic,time&measure,num_noun,other,nonstandard,Sira camp,F,secondary,Nanai,itg,1945,RybjaKozhaITravyPokaz (itg) [2013],online-corpus_202104
135,В новом году мне сколько восемьдесят лет будет,восемьдесят лет,восемьдесят,лет,standard,gen_pl,rus,gen_pl,large,time&measure,num_noun,other,nonstandard,Xaldon?,F,primary?,Kur-Urmi,vak,1932,gldku_vak_110803_so_o sebe-rus_210217_iv.eaf,elan_pract_202102
136,В общем {{много/}} {{много/}} тарелков,много тарелков,много,тарелков,standard,gen_pl,rus,gen_pl,basic,non_time&measure,num_noun,other,nonstandard,Dudi,F,primary,Ulcha,oab,1935,MedvezhijPrazdnik (oab) [2018],online-corpus_202104
137,В одном доме по {{три}} по {{четыре}} {{семья\}} жили раньше,четыре семья,четыре,семья,nonstandard,nom_sg,tung,gen_sg,basic,non_time&measure,num_noun,other,nonstandard,Sorgolj camp,F,primary,Nanai,vsg,1932,Biografija3 (vsg) [2012],online-corpus_202104
138,В сачке у меня вот ... сачок - от {{столько\}} рыба,столько рыба,столько,рыба,nonstandard,nom_mass,tung,gen_pl,basic,non_time&measure,num_noun,mass,nonstandard,Sorgolj camp,F,primary,Nanai,vsg,1932,KondonskijKlub (vsg) [2015],online-corpus_202104
139,"В семь лет было, уехали оттудова",семь лет,семь,лет,standard,gen_pl,rus,gen_pl,large,time&measure,num_noun,other,nonstandard,Xaldon?,F,primary?,Kur-Urmi,vak,1932,gldku_vak_110803_so_o sebe-rus_210217_iv.eaf,elan_pract_202102
140,Вобщем {{два}} звена было нам,два звена,два,звена,standard,gen_sg,rus,gen_sg,basic,non_time&measure,num_noun,other,nonstandard,Kondon,F,?,Nanai,tmb,1929,OSebe (tmb) [2011],online-corpus_202104
141,Вон/ {{два}} этих\ рассказала вам,два этих,два,этих,standard,gen_sg,rus,gen_sg,basic,non_time&measure,num_noun,other,nonstandard,Dudi,F,primary,Ulcha,oab,1935,EthnoVerevki3 (oab) [2017],online-corpus_202104
142,"Воот, семь классов окончил, сразу в армию",семь классов,семь,классов,standard,gen_pl,rus,gen_pl,large,non_time&measure,num_noun,other,nonstandard,Bulava,F,secondary (specialized),Ulcha,oax,1937,ulc_oax_20190709_nst_BioVShkolu_rus_20212102_oz.eaf,elan_pract_202102
143,"Восемь лет, мне восемь лет было",восемь лет,восемь,лет,standard,gen_pl,rus,gen_pl,large,time&measure,num_noun,other,nonstandard,Xaldon?,F,primary?,Kur-Urmi,vak,1932,gldku_vak_110803_so_o sebe-rus_210217_iv.eaf,elan_pract_202102
144,"Восемь лет, мне восемь лет было",восемь лет,восемь,лет,standard,gen_pl,rus,gen_pl,large,time&measure,num_noun,other,nonstandard,Xaldon?,F,primary?,Kur-Urmi,vak,1932,gldku_vak_110803_so_o sebe-rus_210217_iv.eaf,elan_pract_202102
145,Вот {{сколько}} добро\-то,сколько добро,сколько,добро,nonstandard,nom_mass,tung,gen_pl,basic,non_time&measure,num_noun,mass,nonstandard,Sorgolj camp,F,primary,Nanai,vsg,1932,Klad (vsg) [2012],online-corpus_202104
146,Вот {{три}} парни были/ - я хорошо\ помню,три парни,три,парни,nonstandard,nom_pl,tung,gen_sg,basic,non_time&measure,num_noun,other,nonstandard,Sorgolj camp,F,primary,Nanai,vsg,1932,Biografija3 (vsg) [2012],online-corpus_202104
147,Вот {{три}} парни\,три парни,три,парни,nonstandard,nom_pl,tung,gen_sg,basic,non_time&measure,num_noun,other,nonstandard,Sorgolj camp,F,primary,Nanai,vsg,1932,Biografija3 (vsg) [2012],online-corpus_202104
148,Вот и это\ у них было {{три}} сына\,три сына,три,сына,standard,gen_sg,rus,gen_sg,basic,non_time&measure,num_noun,other,nonstandard,Dudi,F,primary,Ulcha,oab,1935,LegendRodRosugbu (oab) [2017],online-corpus_202104
149,Вот писали\ {{сколько}} лет приезжали\ - правда\ книга!,сколько лет,сколько,лет,standard,gen_pl,rus,gen_pl,basic,time&measure,num_noun,other,nonstandard,Dudi,F,primary,Ulcha,oab,1935,PodarilaKnizhku (oab) [2017],online-corpus_202104
150,Вот приходит/ туда эти {{два}} пацана,два пацана,два,пацана,standard,gen_sg,rus,gen_sg,basic,non_time&measure,num_noun,other,nonstandard,Sorgolj camp,F,primary,Nanai,vsg,1932,Klad (vsg) [2012],online-corpus_202104
151,Вот так\ папка - разделили/ на {{три}} части -,три части,три,части,standard,gen_sg,rus,gen_sg,basic,non_time&measure,num_noun,other,nonstandard,Sorgolj camp,F,primary,Nanai,vsg,1932,Medvezhatina (vsg) [2012],online-corpus_202104
152,Вот такая сделать/ на доски - {{три}} ряд\,три ряд,три,ряд,nonstandard,nom_sg,tung,gen_sg,basic,non_time&measure,num_noun,other,nonstandard,Sorgolj camp,F,primary,Nanai,vsg,1932,MedvezhijPrazdnik (vsg) [2011],online-corpus_202104
153,Вот там {{пять}} дом/,пять дом,пять,дом,nonstandard,nom_sg,tung,gen_pl,large,non_time&measure,num_noun,other,nonstandard,Sorgolj camp,F,primary,Nanai,vsg,1932,MedvezhijPrazdnik (vsg) [2011],online-corpus_202104
154,Вот у них вверху ... вот перед праздникой\ вверху ... празднуют все\ {{три}} ряд у дедушки\ нашего,три ряд,три,ряд,nonstandard,nom_sg,tung,gen_sg,basic,non_time&measure,num_noun,other,nonstandard,Sorgolj camp,F,primary,Nanai,vsg,1932,MedvezhijPrazdnik (vsg) [2011],online-corpus_202104
155,Вот щас бабка\ {{восемьдесят}} с лишним лет/ она\ говорит,восемьдесят с лишним лет,восемьдесят,лет,standard,gen_pl,rus,gen_pl,large,time&measure,num_noun,other,nonstandard,Achan,F,secondary,Nanai,rchk,1942,StrashilkiProLes (rchk) [2011],online-corpus_202104
156,Вот эта-то бабушкина эээ отец/ мать родила {{пять}} сыновья/ одна дочка\,пять сыновья,пять,сыновья,nonstandard,nom_pl,tung,gen_pl,large,non_time&measure,num_noun,other,nonstandard,Sorgolj camp,F,primary,Nanai,vsg,1932,RanjsheVKondone (vsg) [2015],online-corpus_202104
157,Вот этом доме/ жили... по {{три}} к= ... {{семья\}},три семья,три,семья,nonstandard,nom_sg,tung,gen_sg,basic,non_time&measure,num_noun,other,nonstandard,Sorgolj camp,F,primary,Nanai,vsg,1932,MedvezhijPrazdnik (vsg) [2011],online-corpus_202104
158,Вот я туберкулезом {{15}} лет болела,пятнадцать лет,пятнадцать,лет,standard,gen_pl,rus,gen_pl,large,time&measure,num_noun,other,nonstandard,Kolchom,F,higher,Ulcha,vas,1933,BioRazgovory2 (vas) [2017],online-corpus_202104
159,"Вот, вот тебе заслуженный как деньги получал {{15}} рублей...",пятнадцать рублей,пятнадцать,рублей,standard,gen_pl,rus,gen_pl,large,time&measure,num_noun,other,nonstandard,Kolchom,F,higher,Ulcha,vas,1933,BioVaria (vas) [2017],online-corpus_202104
160,"вот: печень, почки ... и ошейник, сало вот это, из головы носик вот этот, из шейки вот это, ой, ушки вот эти ... {{обои}} ушки кончики нагрызают ... и в тарелочку ложат.",обои ушки,оба,ушки,nonstandard,nom_pl,tung,gen_sg,basic,non_time&measure,noun_num,other,nonstandard,Achan,F,secondary,Nanai,rchk,1942,KamlanijeVLesu (rchk) [2011],online-corpus_202104
161,Вот\ именно чтоб {{девять}} тарелок\,девять тарелок,девять,тарелок,standard,gen_pl,rus,gen_pl,large,non_time&measure,num_noun,other,nonstandard,Achan,F,secondary,Nanai,rchk,1942,Poxorony (rchk) [2011],online-corpus_202104
162,Всё\ {{обои}} жопа/ всё мясо\ сгнил,обои жопа,оба,жопа,nonstandard,nom_sg,tung,gen_sg,basic,non_time&measure,noun_num,other,nonstandard,Sorgolj camp,F,primary,Nanai,vsg,1932,Klad (vsg) [2012],online-corpus_202104
163,Вспомнила\ ... разА {{два}} ли {{три}} ли помню\,разА два ли три ли,два,разА,standard,gen_sg,rus,gen_sg,basic,time&measure,noun_num,other,nonstandard,Sorgolj camp,F,primary,Nanai,vsg,1932,DetskijeBerestjanyjeGroby (vsg) [2011],online-corpus_202104
164,Вчера ... бутылке/ вот {{столько}} .... жир\,столько жир,столько,жир,nonstandard,nom_mass,tung,gen_pl,basic,non_time&measure,num_noun,mass,nonstandard,Sorgolj camp,F,primary,Nanai,vsg,1932,KondonskijKlub (vsg) [2015],online-corpus_202104
165,"Гладиолусов у меня корней сто-сто два, всяких цветов",корней сто,сто,корней,standard,gen_pl,rus,gen_pl,large,non_time&measure,noun_num,other,nonstandard,Achan,F,secondary,Nanai,rchk,1942,gld_rchk_110807_so_o sebe3-rus_16022021_KL.eaf,elan_pract_202102
166,Грибы мне два ведра принесут,два ведра,два,ведра,standard,gen_sg,rus,gen_sg,basic,non_time&measure,num_noun,other,nonstandard,Achan,F,secondary,Nanai,rchk,1942,gld_rchk_110807_so_o sebe3-rus_16022021_KL.eaf,elan_pract_202102
167,Да мы-то чо\ мы - мне-то тогда {{сколько\}} лет было,сколько лет,сколько,лет,standard,gen_pl,rus,gen_pl,basic,time&measure,num_noun,other,nonstandard,Sorgolj camp,F,primary,Nanai,vsg,1932,Biografija1 (vsg) [2012],online-corpus_202104
168,"Да\ на {{девять\}} дней, на {{сорок\}} дней делают",девять дней,девять,дней,standard,gen_pl,rus,gen_pl,large,time&measure,num_noun,other,nonstandard,Achan,F,secondary,Nanai,rchk,1942,Poxorony (rchk) [2011],online-corpus_202104
169,"Да\ на {{девять\}} дней, на {{сорок\}} дней делают",сорок дней,сорок,дней,standard,gen_pl,rus,gen_pl,large,time&measure,num_noun,other,nonstandard,Achan,F,secondary,Nanai,rchk,1942,Poxorony (rchk) [2011],online-corpus_202104
170,Да\ Ну\ {{девять\}} дней там уже,девять дней,девять,дней,standard,gen_pl,rus,gen_pl,large,time&measure,num_noun,other,nonstandard,Achan,F,secondary,Nanai,rchk,1942,Poxorony (rchk) [2011],online-corpus_202104
171,Дали/ нам ... рулоном ... {{десять}} килограмм ... и крупа\ и масло\ всё\ дали,десять килограмм,десять,килограмм,standard,gen_pl,rus,gen_pl,large,time&measure,num_noun,other,nonstandard,Dada,F,primary,Nanai,fna,1930,OVojne (fna) [2012],online-corpus_202104
172,Два года подряд ездил,два года,два,года,standard,gen_sg,rus,gen_sg,basic,time&measure,num_noun,other,nonstandard,Achan,F,secondary,Nanai,rchk,1942,gld_rchk_110807_so_Kazama-rus_20210220_ek.eaf,elan_pract_202102
173,Два разных слова совершенно,два разных слова,два,разных слова,standard,gen_sg,rus,gen_sg,basic,non_time&measure,num_noun,other,nonstandard,Troitskoje,F,secondary,Nanai,gak,1961,gld_ivg&gak_110806_so_nanai obychai i jazyk-rus_022021_GP.eaf,elan_pract_202102
174,Две бабушки умерли,две бабушки,два,бабушки,standard,gen_sg,rus,gen_sg,basic,non_time&measure,num_noun,other,nonstandard,Troitskoje,F,secondary,Nanai,gak,1961,gld_ivg&gak_110806_so_obychai-rus_022021_GP.eaf,elan_pract_202102
175,Де= вс= {{обои\}} девки,обои девки,оба,девки,standard,gen_sg,rus,gen_sg,basic,non_time&measure,noun_num,other,nonstandard,Sorgolj camp,F,primary,Nanai,vsg,1932,Klad (vsg) [2012],online-corpus_202104
176,"дед бабы дзули, и дети, вот, {{семеро}} детей.",семеро детей,семеро,детей,standard,gen_pl,rus,gen_pl,large,non_time&measure,num_noun,other,nonstandard,Naikhin,F,higher,Nanai,ssb,1933,Diuli (ssb) [2011],online-corpus_202104
177,"Дед Поя оленевод. У него {{двести}} оленей. И вот, еды нет, и он по <НРЗБ> спустил, а потом куда идти? Конечно, если бы вниз в сторону Николаевска он пошел, значит, там есть немножко ягеля еще, то поели бы олени, жили. А он пошел, думает, вверх по Амуру. <НРЗБ> там, значит вверх по Амуру надо идти. И вот он стадо свое погнал.",двести оленей,двести,оленей,standard,gen_pl,rus,gen_pl,large,non_time&measure,num_noun,other,nonstandard,Naikhin,F,higher,Nanai,ssb,1933,ded Poja (ssb) [2015],online-corpus_202104
178,Детей {{много}} был.,детей много,много,детей,standard,gen_pl,rus,gen_pl,basic,non_time&measure,noun_num,other,nonstandard,Dada,F,primary,Nanai,fna,1930,NanajskijDom (fna) [2015],online-corpus_202104
179,Дети {{три}} года и {{четыре}} года...,три года,три,года,standard,gen_sg,rus,gen_sg,basic,time&measure,num_noun,other,nonstandard,Kolchom,F,higher,Ulcha,vas,1933,BioVaria (vas) [2017],online-corpus_202104
180,Дети {{три}} года и {{четыре}} года...,четыре года,четыре,года,standard,gen_sg,rus,gen_sg,basic,time&measure,num_noun,other,nonstandard,Kolchom,F,higher,Ulcha,vas,1933,BioVaria (vas) [2017],online-corpus_202104
181,"дня {{три}} {{четыре}} прошло, наверно",дня три-четыре,три,дня,standard,gen_sg,rus,gen_sg,basic,time&measure,noun_num,other,nonstandard,Sira camp,F,secondary,Nanai,itg,1945,ProstoRazgovory&NanajskijSud&Pominki (itg) [2017],online-corpus_202104
182,Дочка двое родили,дочка двое,двое,дочка,nonstandard,nom_sg,tung,gen_pl,basic,non_time&measure,noun_num,other,nonstandard,Xaldon?,F,primary?,Kur-Urmi,vak,1932,gldku_vak_110803_so_o sebe-rus_210217_iv.eaf,elan_pract_202102
183,"Ей 60 лет, она все по-русски со мной разговаривает",шестьдесят лет,шестьдесят,лет,standard,gen_pl,rus,gen_pl,large,time&measure,num_noun,other,nonstandard,Achan,F,secondary,Nanai,rchk,1942,gld_rchk_110807_so_o sebe1-rus_15022021_KL.eaf,elan_pract_202102
184,"Ему вот 47 лет, он у меня больной",сорок семь лет,сорок семь,лет,standard,gen_pl,rus,gen_pl,large,time&measure,num_noun,other,nonstandard,Achan,F,secondary,Nanai,rchk,1942,gld_rchk_110807_so_o sebe1-rus_15022021_KL.eaf,elan_pract_202102
185,Ему не дашь сорок пять лет,сорок пять лет,сорок пять,лет,standard,gen_pl,rus,gen_pl,large,time&measure,num_noun,other,nonstandard,Achan,F,secondary,Nanai,rchk,1942,gld_rchk_110807_so_Kazama-rus_20210220_ek.eaf,elan_pract_202102
186,Ему сорок пять лет,сорок пять лет,сорок пять,лет,standard,gen_pl,rus,gen_pl,large,time&measure,num_noun,other,nonstandard,Achan,F,secondary,Nanai,rchk,1942,gld_rchk_110807_so_Kazama-rus_20210220_ek.eaf,elan_pract_202102
187,если == лет {{двадцать}} наверное прошло ... он говорил только ...,лет двадцать,двадцать,лет,standard,gen_pl,rus,gen_pl,large,time&measure,noun_num,other,nonstandard,Naikhin,F,higher,Nanai,ssb,1933,BabushkinNanajskijDom&RukavitsyOttsu (ssb) [2011],online-corpus_202104
188,Есть там бабушка сказала {{девять\}} дыр,девять дыр,девять,дыр,standard,gen_pl,rus,gen_pl,large,non_time&measure,num_noun,other,nonstandard,Sira camp,F,secondary,Nanai,itg,1945,EthnoShamany (itg) [2017],online-corpus_202104
189,Еще {{два}} парня/ еще не женились,два парня,два,парня,standard,gen_sg,rus,gen_sg,basic,non_time&measure,num_noun,other,nonstandard,Sorgolj camp,F,primary,Nanai,vsg,1932,Medvezhatina (vsg) [2012],online-corpus_202104
190,"Еще сегодня == щас только {{три}} часа/ наверное, да/?",три часа,три,часа,standard,gen_sg,rus,gen_sg,basic,time&measure,num_noun,other,nonstandard,Dada,F,primary,Nanai,fna,1930,BioRodstvenniki (fna) [2015],online-corpus_202104
191,Женился\ {{двое}} детей\ как лошадь\ вот такой,двое детей,двое,детей,standard,gen_pl,rus,gen_pl,basic,non_time&measure,num_noun,other,nonstandard,Sorgolj camp,F,primary,Nanai,vsg,1932,Medvezhatina (vsg) [2012],online-corpus_202104
192,Жили-были (...) {{два}} (...) мужика.,два мужика,два,мужика,standard,gen_sg,rus,gen_sg,basic,non_time&measure,num_noun,other,nonstandard,Naikhin,M,higher,Nanai,nchb,1937,SkazkaDvaStarika_rus (nchb) [2012],online-corpus_202104
193,За детей\ умирает {{больше}} наверно переживаний\ думаешь,больше переживаний,много,переживаний,standard,gen_pl,rus,gen_pl,basic,non_time&measure,num_noun,other,nonstandard,Sorgolj camp,F,primary,Nanai,vsg,1932,Klad (vsg) [2012],online-corpus_202104
194,"Замуж вышла, двое детей уже",двое детей,двое,детей,standard,gen_pl,rus,gen_pl,basic,non_time&measure,num_noun,other,nonstandard,Xaldon?,F,primary?,Kur-Urmi,vak,1932,gldku_vak_110803_so_o sebe-rus_210217_iv.eaf,elan_pract_202102
195,Заработал он в колхозе {{15}} рублей в месяц...,пятнадцать рублей,пятнадцать,рублей,standard,gen_pl,rus,gen_pl,large,time&measure,num_noun,other,nonstandard,Kolchom,F,higher,Ulcha,vas,1933,BioVaria (vas) [2017],online-corpus_202104
196,"значит там залез, а там аж {{девять}} дзули было.",девять дзули,девять,дзули,standard,gen_pl,rus,gen_pl,large,non_time&measure,num_noun,other,nonstandard,Naikhin,F,higher,Nanai,ssb,1933,Diuli (ssb) [2011],online-corpus_202104
197,И {{десять}} килограм крупа да...,десять килограмм крупа,десять,килограмм крупа,standard,gen_pl,rus,gen_pl,large,time&measure,num_noun,other,nonstandard,Dada,F,primary,Nanai,fna,1930,Biografia (fna) [2011],online-corpus_202104
198,И {{столько}} огород было,столько огород,столько,огород,nonstandard,nom_sg,tung,gen_pl,basic,non_time&measure,num_noun,other,nonstandard,Kolchom,F,higher,Ulcha,vas,1933,Biografia (vas) [2017],online-corpus_202104
199,И верх {{два}} раза стреляли/ и домой\ поехали,два раза,два,раза,standard,gen_sg,rus,gen_sg,basic,time&measure,num_noun,other,nonstandard,Sorgolj camp,F,primary,Nanai,vsg,1932,Klad (vsg) [2012],online-corpus_202104
200,и вот ... {{два}} окна из эээ == самое стёклами были из рыбьей кожи,два окнА,два,окнА,standard,gen_sg,rus,gen_sg,basic,non_time&measure,num_noun,other,nonstandard,Naikhin,F,higher,Nanai,ssb,1933,BabushkinNanajskijDom&RukavitsyOttsu (ssb) [2011],online-corpus_202104
201,И вот с потолка они спустили {{девять}} ... дюлей ...,девять дюлей,девять,дюлей,standard,gen_pl,rus,gen_pl,large,non_time&measure,num_noun,other,nonstandard,Naikhin,F,higher,Nanai,ssb,1933,NashliDiuli (ssb) [2011],online-corpus_202104
202,"И вот так вот {{полтора}} листа пишу те слова, которых я знаю.",полтора листа,полтора,листа,standard,gen_sg,rus,gen_sg,basic,non_time&measure,noun_num,other,nonstandard,Naikhin,F,higher,Nanai,ssb,1933,Shkola (ssb) [2015],online-corpus_202104
203,И вот таким образом старшие мои {{двое}} сёстры Росугбушки/ пи= писались -,двое сёстры,двое,сёстры,nonstandard,nom_pl,tung,gen_pl,basic,non_time&measure,num_noun,other,nonstandard,Dudi,F,primary,Ulcha,oab,1935,LegendRodRosugbu (oab) [2017],online-corpus_202104
204,"И вот эта... {{столько}} костей было, {{столько}} черепов было... люди даже боялись туда заходить.",столько костей,столько,костей,standard,gen_pl,rus,gen_pl,basic,non_time&measure,num_noun,other,nonstandard,Achan,F,secondary,Nanai,rchk,1942,KamlanijeVLesu (rchk) [2011],online-corpus_202104
205,"И вот эта... {{столько}} костей было, {{столько}} черепов было... люди даже боялись туда заходить.",столько черепов,столько,черепов,standard,gen_pl,rus,gen_pl,basic,non_time&measure,num_noun,other,nonstandard,Achan,F,secondary,Nanai,rchk,1942,KamlanijeVLesu (rchk) [2011],online-corpus_202104
206,"И все взрослые: восемнадцать, девятнадцать лет, даже двадцать лет",двадцать лет,двадцать,лет,standard,gen_pl,rus,gen_pl,large,time&measure,num_noun,other,nonstandard,Bulava,F,secondary (specialized),Ulcha,oax,1937,ulc_oax_20190709_nst_BioVShkolu_rus_20212102_oz.eaf,elan_pract_202102
207,"И все взрослые: восемнадцать, девятнадцать лет, даже двадцать лет","восемнадцать, девятнадцать лет ",восемнадцать,лет,standard,gen_pl,rus,gen_pl,large,time&measure,num_noun,other,nonstandard,Bulava,F,secondary (specialized),Ulcha,oax,1937,ulc_oax_20190709_nst_BioVShkolu_rus_20212102_oz.eaf,elan_pract_202102
208,И когда вот ... на спи= на горбу-то у него {{много}}\ лоскутов,много лоскутов,много,лоскутов,standard,gen_pl,rus,gen_pl,basic,non_time&measure,num_noun,other,nonstandard,Achan,F,secondary,Nanai,rchk,1942,VesennijObrjad (rchk) [2011],online-corpus_202104
209,И лебеди\ {{два\}},лебеди два,два,лебеди,nonstandard,nom_pl,tung,gen_sg,basic,non_time&measure,noun_num,other,nonstandard,Dudi,F,primary,Ulcha,oab,1935,SkazkaTriBrata (oab) [2017],online-corpus_202104
210,И младший\ мужика {{двое}} детей бросила\,двое детей,двое,детей,standard,gen_pl,rus,gen_pl,basic,non_time&measure,num_noun,other,nonstandard,Sorgolj camp,F,primary,Nanai,vsg,1932,Klad (vsg) [2012],online-corpus_202104
211,И он через года {{два}} ли {{три}} вернулась\,года два ли три,два,года,standard,gen_sg,rus,gen_sg,basic,time&measure,noun_num,other,nonstandard,Sorgolj camp,F,primary,Nanai,vsg,1932,Medvezhatina (vsg) [2012],online-corpus_202104
